Fecha,Marca,Menciones,Mes ,Año,Venta Tienda,Venta en Linea,%
01/06/2026,Soriana,247,Junio,2026,"$530,751,901","$7,101,414",11.67%
01/06/2026,HEB,100,Junio,2026,,,4.72%
01/06/2026,Walmart,1274,Junio,2026,,,60.18%
01/06/2026,Bodega,188,Junio,2026,,,8.88%
01/06/2026,Chedraui,308,Junio,2026,,,14.55%
02/06/2026,Soriana,199,Junio,2026,"$500,374,773","$6,026,736",8.48%
02/06/2026,HEB,91,Junio,2026,,,3.88%
02/06/2026,Walmart,1646,Junio,2026,,,70.16%
02/06/2026,Bodega,115,Junio,2026,,,4.90%
02/06/2026,Chedraui,295,Junio,2026,,,12.57%
03/06/2026,Soriana,198,Junio,2026,"$418,989,311","$7,045,430",15.99%
03/06/2026,HEB,87,Junio,2026,,,7.03%
03/06/2026,Walmart,637,Junio,2026,,,51.45%
03/06/2026,Bodega,81,Junio,2026,,,6.54%
03/06/2026,Chedraui,235,Junio,2026,,,18.98%
04/06/2026,Soriana,187,Junio,2026,"$385,965,096","$5,449,592",15.23%
04/06/2026,HEB,71,Junio,2026,,,5.78%
04/06/2026,Walmart,626,Junio,2026,,,50.98%
04/06/2026,Bodega,85,Junio,2026,,,6.92%
04/06/2026,Chedraui,259,Junio,2026,,,21.09%
05/06/2026,Soriana,270,Junio,2026,"$416,743,826","$6,042,545",19.96%
05/06/2026,HEB,65,Junio,2026,,,4.80%
05/06/2026,Walmart,587,Junio,2026,,,43.39%
05/06/2026,Bodega,107,Junio,2026,,,7.91%
05/06/2026,Chedraui,324,Junio,2026,,,23.95%
06/06/2026,Soriana,124,Junio,2026,"$500,574,113","$5,878,797",12.17%
06/06/2026,HEB,84,Junio,2026,,,8.24%
06/06/2026,Walmart,631,Junio,2026,,,61.92%
06/06/2026,Bodega,62,Junio,2026,,,6.08%
06/06/2026,Chedraui,118,Junio,2026,,,11.58%
07/06/2026,Soriana,140,Junio,2026,"$542,163,675","$4,966,867",11.36%
07/06/2026,HEB,109,Junio,2026,,,8.85%
